Manufacturer	Model	worm period (in seconds)
10Micron	GM1000 HPS / HPS II / HPS EP	344.66
10Micron	GM2000 QCI / HPS / HPS II	400.76
10Micron	GM3000 HPS	273.54
10Micron	GM4000 HPS	200.38
Astro-Physics	1100GTO	384.00
Astro-Physics	1150GTO	384.00
Astro-Physics	1200GTO	384.00
Astro-Physics	3600GTO	336.58
Astro-Physics	900GTO	384.00
Astro-Physics	AP400	448.77
Astro-Physics	AP600	448.77
Astro-Physics	Mach1GTO	384.00
Astro-Physics	Mach2GTO	384.00
Celestron	Advanced VX (AVX)	598.36
Celestron	CGEM	478.69
Celestron	CGEM II	478.69
Celestron	CGX	478.69
Celestron	CGX-L	478.69
iOptron	CEM120	239.34
iOptron	CEM26	598.36
iOptron	CEM40	398.91
iOptron	CEM60	299.18
iOptron	CEM70 / CEM70G	348.00
iOptron	GEM28	598.36
iOptron	GEM45	398.91
Losmandy	G11 / G11G	240.00
Losmandy	G11T / G11GT	240.00
Losmandy	GM8	480.00
Losmandy	GM811G	240.00
Losmandy	Titan	240.00
Sky-Watcher	AZ-EQ6	478.69
Sky-Watcher	EQ6 / NEQ6 / Atlas EQ-G	478.69
Sky-Watcher	EQ6-R Pro	478.69
Sky-Watcher	EQ8 / EQ8-R / EQ8-Rh	198.08
Sky-Watcher	HEQ5 Pro	638.25
Software Bisque	Paramount ME II	149.59
Software Bisque	Paramount MX+	299.18
Takahashi	EM-200	480.00
Takahashi	EM-400	240.00
Takahashi	NJP / NJP Temma	480.00
